bus,name,ft_ka,ff_ka,fft_ka,sim_ka
1,BUS 01,4.614,7.166,7.351,8.274
2,BUS 02,9.658,10.655,11.433,12.303
3,BUS 03,6.805,9.255,9.617,10.687
4,BUS 04,6.37,8.481,8.816,9.793
5,BUS 05,6.894,8.434,8.85,9.739
6,BUS 06,7.325,8.568,9.064,9.893
7,BUS 07,5.396,7.132,7.411,8.236
8,BUS 08,5.557,7.41,7.694,8.556
9,BUS 09,4.475,6.945,7.123,8.019
10,BUS 10,7.023,7.969,8.485,9.202
11,BUS 11,6.677,7.844,8.288,9.057
12,BUS 12,3.757,3.734,4.091,4.311
13,BUS 13,6.385,7.666,8.069,8.852
14,BUS 14,6.233,8.175,8.514,9.439
15,BUS 15,5.679,7.924,8.213,9.15
16,BUS 16,8.277,10.4,10.905,12.009
17,BUS 17,6.717,9.192,9.547,10.614
18,BUS 18,5.716,8.127,8.409,9.384
19,BUS 19,7.002,7.253,7.878,8.375
20,BUS 20,5.119,4.928,5.464,5.69
21,BUS 21,5.625,7.3,7.611,8.429
22,BUS 22,7.142,7.591,8.186,8.765
23,BUS 23,6.647,7.173,7.706,8.283
24,BUS 24,5.998,8.051,8.369,9.297
25,BUS 25,7.416,8.547,9.096,9.87
26,BUS 26,4.698,6.429,6.663,7.423
27,BUS 27,4.404,6.386,6.589,7.374
28,BUS 28,3.058,3.863,4.036,4.46
29,BUS 29,4.178,4.402,4.774,5.083
30,BUS 30,9.134,8.605,9.639,9.937
31,BUS 31,5.439,5.259,5.812,6.072
32,BUS 32,6.176,6.009,6.623,6.939
33,BUS 33,6.881,6.561,7.299,7.576
34,BUS 34,4.064,3.752,4.221,4.332
35,BUS 35,6.618,6.395,7.066,7.385
36,BUS 36,5.997,5.607,6.268,6.475
37,BUS 37,6.016,5.796,6.468,6.693
38,BUS 38,4.529,4.452,4.914,5.14
39,BUS 39,30.608,27.271,31.107,31.49
