bus,name,va_pu,anga_deg,vb_pu,angb_deg,vc_pu,angc_deg
2,BUS 02,0.766,-0.3,1.004,-120.6,1.007,120.5
3,BUS 03,0.511,0.0,1.065,-125.9,1.07,125.7
4,BUS 04,0.0,0.0,1.211,-134.5,1.215,134.4
5,BUS 05,0.36,-1.4,1.088,-127.0,1.084,127.2
6,BUS 06,0.416,-1.5,1.069,-125.6,1.063,125.8
8,BUS 08,0.438,-1.3,1.071,-125.8,1.067,126.0
13,BUS 13,0.431,-1.5,1.064,-125.2,1.058,125.4
14,BUS 14,0.311,-0.7,1.107,-128.6,1.108,128.5
15,BUS 15,0.579,-0.6,1.046,-124.2,1.047,124.1
18,BUS 18,0.606,-0.4,1.042,-124.0,1.045,123.9
