from_bus,from_name,to_bus,to_name,circuit,p_mw,q_mvar,mva,loss_mw,loss_mvar
1,BUS 01,2,BUS 02,1,-124.3,-29.8,122.0,0.5,-71.02
1,BUS 01,39,BUS 39,1,124.3,29.8,122.0,0.19,-76.28
2,BUS 02,3,BUS 03,1,364.4,91.7,358.0,1.7,-8.11
2,BUS 02,25,BUS 25,1,-239.2,79.8,240.2,4.13,-11.16
2,BUS 02,30,BUS 30,1,-250.0,-130.3,268.6,0.0,13.72
3,BUS 03,4,BUS 04,1,93.0,112.4,141.5,0.29,-18.12
3,BUS 03,18,BUS 18,1,-52.3,-15.0,52.8,0.03,-22.41
4,BUS 04,5,BUS 05,1,-136.9,-6.7,136.4,0.15,-11.18
4,BUS 04,14,BUS 14,1,-270.4,-46.8,273.2,0.59,-4.5
5,BUS 05,6,BUS 06,1,-454.3,-54.6,455.0,0.41,0.98
5,BUS 05,8,BUS 08,1,317.3,59.2,320.9,0.83,-3.15
6,BUS 06,7,BUS 07,1,420.6,91.6,427.0,1.1,5.51
6,BUS 06,11,BUS 11,1,-363.8,-32.4,362.4,0.92,-3.45
6,BUS 06,31,BUS 31,1,-511.5,-114.9,520.1,0.0,77.41
7,BUS 07,8,BUS 08,1,185.7,2.1,186.2,0.14,-6.15
8,BUS 08,9,BUS 09,1,-20.0,-105.4,107.7,0.18,-36.11
9,BUS 09,39,BUS 39,1,-20.1,-69.3,70.2,0.0,-127.0
10,BUS 10,11,BUS 11,1,365.2,70.2,365.5,0.54,-1.75
10,BUS 10,13,BUS 13,1,284.7,36.9,282.2,0.32,-4.09
10,BUS 10,32,BUS 32,1,-650.0,-107.1,647.4,0.0,95.98
11,BUS 11,12,BUS 12,1,-0.1,43.0,42.5,0.03,0.78
12,BUS 12,13,BUS 13,1,-7.6,-45.8,46.4,0.03,0.95
13,BUS 13,14,BUS 14,1,276.8,-5.8,272.9,0.67,-10.18
14,BUS 14,15,BUS 15,1,5.1,-37.9,37.8,0.01,-37.57
15,BUS 15,16,BUS 16,1,-314.9,-153.3,344.6,1.05,-7.03
16,BUS 16,17,BUS 17,1,230.1,-47.6,227.5,0.36,-9.79
16,BUS 16,19,BUS 19,1,-502.7,-43.7,488.5,3.8,13.35
16,BUS 16,21,BUS 21,1,-329.5,14.5,319.4,0.82,-13.34
16,BUS 16,24,BUS 24,1,-42.8,-98.2,103.7,0.03,-6.7
17,BUS 17,18,BUS 18,1,210.7,11.9,203.9,0.29,-10.67
17,BUS 17,27,BUS 27,1,19.1,-49.8,51.5,0.02,-34.39
19,BUS 19,20,BUS 20,1,122.6,-8.8,117.1,0.11,2.12
19,BUS 19,33,BUS 33,1,-629.1,-48.2,600.8,2.89,58.69
20,BUS 20,34,BUS 34,1,-505.5,-114.0,522.8,2.5,50.09
21,BUS 21,22,BUS 22,1,-604.4,-87.2,591.3,2.78,20.83
22,BUS 22,23,BUS 23,1,42.9,37.0,53.9,0.02,-19.93
22,BUS 22,35,BUS 35,1,-650.0,-145.0,634.0,0.0,60.39
23,BUS 23,24,BUS 24,1,353.9,0.5,338.4,2.53,1.0
23,BUS 23,36,BUS 36,1,-558.6,-21.0,534.4,1.43,77.69
25,BUS 25,26,BUS 26,1,71.0,-21.4,70.1,0.15,-55.8
25,BUS 25,37,BUS 37,1,-538.3,67.6,512.5,1.66,64.02
26,BUS 26,27,BUS 27,1,262.9,68.7,257.7,0.95,-16.26
26,BUS 26,28,BUS 28,1,-140.9,-24.6,135.7,0.78,-78.08
26,BUS 26,29,BUS 29,1,-190.1,-26.6,182.0,1.9,-93.41
28,BUS 28,29,BUS 29,1,-347.7,33.1,331.4,1.55,-10.89
29,BUS 29,38,BUS 38,1,-824.8,94.8,788.5,5.23,101.9
