bus,name,type,voltage_pu,angle_deg,gen_mw,gen_mvar,load_mw,load_mvar
1,BUS 01,0,1.048,-8.4,0.0,0.0,0.0,0.0
2,BUS 02,0,1.05,-5.8,0.0,0.0,0.0,0.0
3,BUS 03,0,1.031,-8.6,0.0,0.0,322.0,2.4
4,BUS 04,0,1.004,-9.6,0.0,0.0,500.0,184.0
5,BUS 05,0,1.006,-8.6,0.0,0.0,0.0,0.0
6,BUS 06,0,1.008,-7.9,0.0,0.0,0.0,0.0
7,BUS 07,0,0.997,-10.1,0.0,0.0,233.8,84.0
8,BUS 08,0,0.996,-10.6,0.0,0.0,522.0,176.0
9,BUS 09,0,1.028,-10.3,0.0,0.0,0.0,0.0
10,BUS 10,0,1.017,-5.4,0.0,0.0,0.0,0.0
11,BUS 11,0,1.013,-6.3,0.0,0.0,0.0,0.0
12,BUS 12,0,1.001,-6.2,0.0,0.0,7.5,88.0
13,BUS 13,0,1.015,-6.1,0.0,0.0,0.0,0.0
14,BUS 14,0,1.012,-7.7,0.0,0.0,0.0,0.0
15,BUS 15,0,1.016,-7.7,0.0,0.0,320.0,153.0
16,BUS 16,0,1.033,-6.2,0.0,0.0,329.0,32.0
17,BUS 17,0,1.035,-7.3,0.0,0.0,0.0,0.0
18,BUS 18,0,1.032,-8.2,0.0,0.0,158.0,30.0
19,BUS 19,0,1.05,-1.0,0.0,0.0,0.0,0.0
20,BUS 20,0,0.991,-2.0,0.0,0.0,628.0,103.0
21,BUS 21,0,1.033,-3.8,0.0,0.0,274.0,115.0
22,BUS 22,0,1.05,0.7,0.0,0.0,0.0,0.0
23,BUS 23,0,1.046,0.5,0.0,0.0,247.5,84.0
24,BUS 24,0,1.038,-6.1,0.0,0.0,308.6,-92.0
25,BUS 25,0,1.059,-4.4,0.0,0.0,224.0,47.0
26,BUS 26,0,1.055,-5.5,0.0,0.0,139.0,17.0
27,BUS 27,0,1.04,-7.5,0.0,0.0,281.0,75.0
28,BUS 28,0,1.054,-2.1,0.0,0.0,206.0,27.0
29,BUS 29,0,1.053,0.7,0.0,0.0,283.5,26.0
30,GEN 30,1,1.048,-3.3,250.0,144.0,0.0,0.0
31,GEN 31,2,0.982,-0.0,520.7,196.9,9.2,4.6
32,GEN 32,1,0.983,2.6,650.0,203.0,0.0,0.0
33,GEN 33,1,0.997,4.2,632.0,106.9,0.0,0.0
34,GEN 34,1,1.012,3.2,508.0,164.0,0.0,0.0
35,GEN 35,1,1.049,5.6,650.0,205.4,0.0,0.0
36,GEN 36,1,1.064,8.3,560.0,98.7,0.0,0.0
37,GEN 37,1,1.028,2.4,540.0,-3.6,0.0,0.0
38,GEN 38,1,1.027,7.7,830.0,7.1,0.0,0.0
39,GEN 39,1,1.03,-10.0,1000.0,86.2,1104.0,250.0
