from_bus,to_bus,circuit,zip_p_mw,zip_110_p_mw,delta_p_mw,zip_q_mvar,zip_110_q_mvar,delta_q_mvar,zip_loss_mw,zip_110_loss_mw,delta_loss_mw
1,2,1,-121.1,313.4,434.5,-30.1,-131.7,-101.6,0.47,3.77,3.3
1,39,1,121.1,-313.4,-434.5,30.2,131.7,101.5,0.18,1.27,1.09
2,3,1,333.5,623.7,290.2,98.6,107.6,9.0,1.46,4.88,3.42
2,25,1,-205.1,-64.0,141.1,72.5,-14.8,-87.3,3.08,0.27,-2.81
2,30,1,-250.0,-250.0,0.0,-129.9,-196.2,-66.3,0.0,0.0,0.0
3,4,1,22.4,144.8,122.4,121.5,118.5,-3.0,0.22,0.48,0.26
3,18,1,-24.3,113.1,137.4,-14.6,-43.1,-28.5,0.01,0.15,0.14
4,5,1,-216.8,-185.9,30.9,3.9,12.1,8.2,0.38,0.29,-0.09
4,14,1,-262.5,-211.2,51.3,-47.8,-74.2,-26.4,0.56,0.4,-0.16
5,6,1,-546.5,-292.6,253.9,-46.0,-118.6,-72.6,0.6,0.2,-0.4
5,8,1,329.3,106.4,-222.9,57.4,139.2,81.8,0.9,0.27,-0.63
6,7,1,447.1,224.5,-222.6,89.9,165.7,75.8,1.24,0.49,-0.75
6,11,1,-311.0,-325.2,-14.2,-44.7,-78.0,-33.3,0.68,0.79,0.11
6,31,1,-683.3,-192.1,491.2,-94.6,-204.7,-110.1,0.0,0.0,0.0
7,8,1,213.5,-24.9,-238.4,-1.3,83.9,85.2,0.18,0.04,-0.14
8,9,1,23.4,-471.9,-495.3,-110.9,60.1,171.0,0.21,5.6,5.39
9,39,1,23.2,-477.5,-500.7,-75.3,7.3,82.6,0.01,2.48,2.47
10,11,1,316.7,330.2,13.5,78.2,112.4,34.2,0.41,0.49,0.08
10,13,1,333.2,319.8,-13.4,35.9,47.9,12.0,0.44,0.42,-0.02
10,32,1,-650.0,-650.0,0.0,-114.1,-160.2,-46.1,0.0,0.0,0.0
11,12,1,4.7,3.7,-1.0,42.7,40.9,-1.8,0.03,0.03,0.0
12,13,1,-2.9,-4.5,-1.6,-45.9,-46.5,-0.6,0.03,0.04,0.01
13,14,1,329.9,314.9,-15.0,-8.2,3.3,11.5,0.95,0.89,-0.06
14,15,1,65.9,102.4,36.5,-44.1,-56.5,-12.4,0.09,0.22,0.13
15,16,1,-259.9,-251.7,8.2,-163.3,-188.4,-25.1,0.8,0.85,0.05
16,17,1,241.3,79.2,-162.1,-47.0,-4.7,42.3,0.39,0.04,-0.35
16,19,1,-509.3,-449.8,59.5,-46.4,-79.8,-33.4,3.91,3.15,-0.76
16,21,1,-312.8,-276.1,36.7,13.3,-2.6,-15.9,0.74,0.58,-0.16
16,24,1,-21.6,21.8,43.4,-103.7,-123.3,-19.6,0.03,0.04,0.01
17,18,1,188.5,64.8,-123.7,11.7,43.3,31.6,0.23,0.04,-0.19
17,27,1,52.4,14.3,-38.1,-49.4,-34.5,14.9,0.05,0.01,-0.04
19,20,1,115.9,176.1,60.2,-10.6,-15.0,-4.4,0.1,0.22,0.12
19,33,1,-629.1,-629.1,0.0,-50.6,-70.6,-20.0,2.9,2.93,0.03
20,34,1,-505.5,-505.5,0.0,-114.4,-128.0,-13.6,2.51,2.55,0.04
21,22,1,-598.0,-587.3,10.7,-91.5,-110.3,-18.8,2.73,2.7,-0.03
22,23,1,49.3,60.0,10.7,38.3,44.3,6.0,0.03,0.04,0.01
22,35,1,-650.0,-650.0,0.0,-149.8,-174.2,-24.4,0.0,0.0,0.0
23,24,1,346.7,332.7,-14.0,0.3,7.3,7.0,2.43,2.26,-0.17
23,36,1,-558.6,-558.6,0.0,-24.3,-40.0,-15.7,1.43,1.45,0.02
25,26,1,90.6,215.0,124.4,-23.4,-40.0,-16.6,0.24,1.37,1.13
25,37,1,-538.3,-538.3,0.0,60.3,-3.2,-63.5,1.66,1.68,0.02
26,27,1,242.6,305.9,63.3,71.2,73.5,2.3,0.83,1.3,0.47
26,28,1,-123.9,-97.8,26.1,-27.7,-39.4,-11.7,0.6,0.38,-0.22
26,29,1,-176.4,-155.1,21.3,-30.3,-43.6,-13.3,1.64,1.27,-0.37
28,29,1,-343.7,-337.3,6.4,30.1,14.1,-16.0,1.52,1.47,-0.05
29,38,1,-824.8,-824.8,0.0,89.4,56.1,-33.3,5.23,5.24,0.01
