bus,name,zip_voltage_pu,zip_110_voltage_pu,delta_voltage_pu,zip_angle_deg,zip_110_angle_deg,delta_angle_deg
1,BUS 01,1.043,1.043,0.0,25.8,14.7,-11.1
2,BUS 02,1.043,1.044,0.001,18.3,6.0,-12.3
3,BUS 03,1.019,1.021,0.002,12.5,0.6,-11.9
4,BUS 04,0.99,0.993,0.003,8.4,-1.7,-10.1
5,BUS 05,0.988,0.994,0.006,7.8,-0.6,-8.4
6,BUS 06,0.991,0.997,0.006,7.7,-0.3,-8.0
7,BUS 07,0.977,0.983,0.006,7.3,-1.1,-8.4
8,BUS 08,0.974,0.98,0.006,7.8,-0.9,-8.7
9,BUS 09,1.002,1.007,0.005,21.5,11.7,-9.8
10,BUS 10,1.006,1.01,0.004,11.3,2.2,-9.1
11,BUS 11,0.999,1.004,0.005,10.1,1.3,-8.8
12,BUS 12,0.988,0.992,0.004,10.4,1.4,-9.0
13,BUS 13,1.003,1.006,0.003,10.9,1.5,-9.4
14,BUS 14,1.0,1.003,0.003,10.1,-0.2,-10.3
15,BUS 15,1.007,1.008,0.001,11.2,-1.2,-12.4
16,BUS 16,1.026,1.026,0.0,13.3,0.1,-13.2
17,BUS 17,1.026,1.026,0.0,12.9,-0.1,-13.0
18,BUS 18,1.022,1.023,0.001,12.3,-0.4,-12.7
19,BUS 19,1.048,1.047,-0.001,18.6,4.8,-13.8
20,BUS 20,0.99,0.989,-0.001,17.7,3.3,-14.4
21,BUS 21,1.028,1.027,-0.001,15.7,2.2,-13.5
22,BUS 22,1.048,1.047,-0.001,20.1,6.5,-13.6
23,BUS 23,1.043,1.042,-0.001,19.8,6.2,-13.6
24,BUS 24,1.032,1.033,0.001,13.4,0.0,-13.4
25,BUS 25,1.048,1.046,-0.002,18.9,6.3,-12.6
26,BUS 26,1.046,1.044,-0.002,15.8,2.3,-13.5
27,BUS 27,1.031,1.029,-0.002,13.3,-0.1,-13.4
28,BUS 28,1.049,1.046,-0.003,19.0,4.8,-14.2
29,BUS 29,1.049,1.048,-0.001,21.7,7.5,-14.2
30,GEN 30,1.048,1.048,0.0,20.7,8.5,-12.2
31,GEN 31,0.982,0.982,0.0,0.0,-0.0,-0.0
32,GEN 32,0.983,0.983,0.0,19.4,10.2,-9.2
33,GEN 33,0.997,0.997,0.0,23.8,10.0,-13.8
34,GEN 34,1.012,1.012,0.0,22.9,8.5,-14.4
35,GEN 35,1.049,1.049,0.0,25.0,11.5,-13.5
36,GEN 36,1.064,1.064,0.0,27.7,14.1,-13.6
37,GEN 37,1.028,1.028,0.0,25.7,13.1,-12.6
38,GEN 38,1.027,1.027,0.0,28.8,14.5,-14.3
39,GEN 39,1.03,1.03,0.0,30.5,20.0,-10.5
