from_bus,to_bus,circuit,base_p_mw,zip_p_mw,delta_p_mw,base_q_mvar,zip_q_mvar,delta_q_mvar,base_loss_mw,zip_loss_mw,delta_loss_mw
1,2,1,-124.3,-121.1,3.2,-29.8,-30.1,-0.3,0.5,0.47,-0.03
1,39,1,124.3,121.1,-3.2,29.8,30.2,0.4,0.19,0.18,-0.01
2,3,1,364.4,333.5,-30.9,91.7,98.6,6.9,1.7,1.46,-0.24
2,25,1,-239.2,-205.1,34.1,79.8,72.5,-7.3,4.13,3.08,-1.05
2,30,1,-250.0,-250.0,0.0,-130.3,-129.9,0.4,0.0,0.0,0.0
3,4,1,93.0,22.4,-70.6,112.4,121.5,9.1,0.29,0.22,-0.07
3,18,1,-52.3,-24.3,28.0,-15.0,-14.6,0.4,0.03,0.01,-0.02
4,5,1,-136.9,-216.8,-79.9,-6.7,3.9,10.6,0.15,0.38,0.23
4,14,1,-270.4,-262.5,7.9,-46.8,-47.8,-1.0,0.59,0.56,-0.03
5,6,1,-454.3,-546.5,-92.2,-54.6,-46.0,8.6,0.41,0.6,0.19
5,8,1,317.3,329.3,12.0,59.2,57.4,-1.8,0.83,0.9,0.07
6,7,1,420.6,447.1,26.5,91.6,89.9,-1.7,1.1,1.24,0.14
6,11,1,-363.8,-311.0,52.8,-32.4,-44.7,-12.3,0.92,0.68,-0.24
6,31,1,-511.5,-683.3,-171.8,-114.9,-94.6,20.3,0.0,0.0,0.0
7,8,1,185.7,213.5,27.8,2.1,-1.3,-3.4,0.14,0.18,0.04
8,9,1,-20.0,23.4,43.4,-105.4,-110.9,-5.5,0.18,0.21,0.03
9,39,1,-20.1,23.2,43.3,-69.3,-75.3,-6.0,0.0,0.01,0.01
10,11,1,365.2,316.7,-48.5,70.2,78.2,8.0,0.54,0.41,-0.13
10,13,1,284.7,333.2,48.5,36.9,35.9,-1.0,0.32,0.44,0.12
10,32,1,-650.0,-650.0,0.0,-107.1,-114.1,-7.0,0.0,0.0,0.0
11,12,1,-0.1,4.7,4.8,43.0,42.7,-0.3,0.03,0.03,0.0
12,13,1,-7.6,-2.9,4.7,-45.8,-45.9,-0.1,0.03,0.03,0.0
13,14,1,276.8,329.9,53.1,-5.8,-8.2,-2.4,0.67,0.95,0.28
14,15,1,5.1,65.9,60.8,-37.9,-44.1,-6.2,0.01,0.09,0.08
15,16,1,-314.9,-259.9,55.0,-153.3,-163.3,-10.0,1.05,0.8,-0.25
16,17,1,230.1,241.3,11.2,-47.6,-47.0,0.6,0.36,0.39,0.03
16,19,1,-502.7,-509.3,-6.6,-43.7,-46.4,-2.7,3.8,3.91,0.11
16,21,1,-329.5,-312.8,16.7,14.5,13.3,-1.2,0.82,0.74,-0.08
16,24,1,-42.8,-21.6,21.2,-98.2,-103.7,-5.5,0.03,0.03,0.0
17,18,1,210.7,188.5,-22.2,11.9,11.7,-0.2,0.29,0.23,-0.06
17,27,1,19.1,52.4,33.3,-49.8,-49.4,0.4,0.02,0.05,0.03
19,20,1,122.6,115.9,-6.7,-8.8,-10.6,-1.8,0.11,0.1,-0.01
19,33,1,-629.1,-629.1,0.0,-48.2,-50.6,-2.4,2.89,2.9,0.01
20,34,1,-505.5,-505.5,0.0,-114.0,-114.4,-0.4,2.5,2.51,0.01
21,22,1,-604.4,-598.0,6.4,-87.2,-91.5,-4.3,2.78,2.73,-0.05
22,23,1,42.9,49.3,6.4,37.0,38.3,1.3,0.02,0.03,0.01
22,35,1,-650.0,-650.0,0.0,-145.0,-149.8,-4.8,0.0,0.0,0.0
23,24,1,353.9,346.7,-7.2,0.5,0.3,-0.2,2.53,2.43,-0.1
23,36,1,-558.6,-558.6,0.0,-21.0,-24.3,-3.3,1.43,1.43,0.0
25,26,1,71.0,90.6,19.6,-21.4,-23.4,-2.0,0.15,0.24,0.09
25,37,1,-538.3,-538.3,0.0,67.6,60.3,-7.3,1.66,1.66,0.0
26,27,1,262.9,242.6,-20.3,68.7,71.2,2.5,0.95,0.83,-0.12
26,28,1,-140.9,-123.9,17.0,-24.6,-27.7,-3.1,0.78,0.6,-0.18
26,29,1,-190.1,-176.4,13.7,-26.6,-30.3,-3.7,1.9,1.64,-0.26
28,29,1,-347.7,-343.7,4.0,33.1,30.1,-3.0,1.55,1.52,-0.03
29,38,1,-824.8,-824.8,0.0,94.8,89.4,-5.4,5.23,5.23,0.0
