bus,name,base_voltage_pu,zip_voltage_pu,delta_voltage_pu,base_angle_deg,zip_angle_deg,delta_angle_deg
1,BUS 01,1.048,1.048,0.0,-8.4,-12.9,-4.5
2,BUS 02,1.05,1.05,0.0,-5.8,-10.3,-4.5
3,BUS 03,1.031,1.03,-0.001,-8.6,-12.9,-4.3
4,BUS 04,1.004,1.003,-0.001,-9.6,-13.1,-3.5
5,BUS 05,1.006,1.003,-0.003,-8.6,-11.5,-2.9
6,BUS 06,1.008,1.006,-0.002,-7.9,-10.7,-2.8
7,BUS 07,0.997,0.995,-0.002,-10.1,-13.0,-2.9
8,BUS 08,0.996,0.994,-0.002,-10.6,-13.6,-3.0
9,BUS 09,1.028,1.027,-0.001,-10.3,-14.2,-3.9
10,BUS 10,1.017,1.016,-0.001,-5.4,-8.5,-3.1
11,BUS 11,1.013,1.011,-0.002,-6.3,-9.2,-2.9
12,BUS 12,1.001,0.999,-0.002,-6.2,-9.3,-3.1
13,BUS 13,1.015,1.013,-0.002,-6.1,-9.3,-3.2
14,BUS 14,1.012,1.01,-0.002,-7.7,-11.2,-3.5
15,BUS 15,1.016,1.015,-0.001,-7.7,-12.0,-4.3
16,BUS 16,1.033,1.032,-0.001,-6.2,-10.7,-4.5
17,BUS 17,1.035,1.034,-0.001,-7.3,-11.9,-4.6
18,BUS 18,1.032,1.031,-0.001,-8.2,-12.7,-4.5
19,BUS 19,1.05,1.05,0.0,-1.0,-5.5,-4.5
20,BUS 20,0.991,0.991,0.0,-2.0,-6.4,-4.4
21,BUS 21,1.033,1.031,-0.002,-3.8,-8.4,-4.6
22,BUS 22,1.05,1.05,0.0,0.7,-4.0,-4.7
23,BUS 23,1.046,1.045,-0.001,0.5,-4.3,-4.8
24,BUS 24,1.038,1.038,0.0,-6.1,-10.7,-4.6
25,BUS 25,1.059,1.057,-0.002,-4.4,-9.1,-4.7
26,BUS 26,1.055,1.053,-0.002,-5.5,-10.6,-5.1
27,BUS 27,1.04,1.039,-0.001,-7.5,-12.4,-4.9
28,BUS 28,1.054,1.053,-0.001,-2.1,-7.5,-5.4
29,BUS 29,1.053,1.052,-0.001,0.7,-4.8,-5.5
30,GEN 30,1.048,1.048,0.0,-3.3,-7.9,-4.6
31,GEN 31,0.982,0.982,0.0,-0.0,-0.0,0.0
32,GEN 32,0.983,0.983,0.0,2.6,-0.5,-3.1
33,GEN 33,0.997,0.997,0.0,4.2,-0.3,-4.5
34,GEN 34,1.012,1.012,0.0,3.2,-1.2,-4.4
35,GEN 35,1.049,1.049,0.0,5.6,0.9,-4.7
36,GEN 36,1.064,1.064,0.0,8.3,3.6,-4.7
37,GEN 37,1.028,1.028,0.0,2.4,-2.3,-4.7
38,GEN 38,1.027,1.027,0.0,7.7,2.3,-5.4
39,GEN 39,1.03,1.03,0.0,-10.0,-14.5,-4.5
