from_bus,from_name,to_bus,to_name,circuit,p_mw,q_mvar,mva,loss_mw,loss_mvar
1,BUS 01,2,BUS 02,1,313.4,-131.7,340.0,3.77,-28.3
1,BUS 01,39,GEN 39,1,-313.4,131.7,340.0,1.27,-40.64
2,BUS 02,3,BUS 03,1,623.7,107.6,610.2,4.88,29.56
2,BUS 02,25,BUS 25,1,-64.0,-14.8,63.4,0.27,-15.45
2,BUS 02,30,GEN 30,1,-250.0,-196.2,306.4,0.0,17.85
3,BUS 03,4,BUS 04,1,144.8,118.5,184.2,0.48,-14.39
3,BUS 03,18,BUS 18,1,113.1,-43.1,119.2,0.15,-20.34
4,BUS 04,5,BUS 05,1,-185.9,12.1,188.8,0.29,-8.48
4,BUS 04,14,BUS 14,1,-211.2,-74.2,226.8,0.4,-7.1
5,BUS 05,6,BUS 06,1,-292.6,-118.6,320.0,0.2,-1.59
5,BUS 05,8,BUS 08,1,106.4,139.2,177.6,0.27,-10.34
6,BUS 06,7,BUS 07,1,224.5,165.7,281.9,0.49,-3.4
6,BUS 06,11,BUS 11,1,-325.2,-78.0,337.7,0.79,-4.47
6,BUS 06,31,GEN 31,1,-192.1,-204.7,283.6,0.0,23.02
7,BUS 07,8,BUS 08,1,-24.9,83.9,89.9,0.04,-6.95
8,BUS 08,9,BUS 09,1,-471.9,60.1,490.9,5.6,52.78
9,BUS 09,39,GEN 39,1,-477.5,7.3,493.5,2.48,-50.0
10,BUS 10,11,BUS 11,1,330.2,112.4,347.1,0.49,-2.1
10,BUS 10,13,BUS 13,1,319.8,47.9,321.8,0.42,-2.87
10,BUS 10,32,GEN 32,1,-650.0,-160.2,666.3,0.0,101.64
11,BUS 11,12,BUS 12,1,3.7,40.9,41.2,0.03,0.74
12,BUS 12,13,BUS 13,1,-4.5,-46.5,47.3,0.04,0.99
13,BUS 13,14,BUS 14,1,314.9,3.3,314.5,0.89,-7.22
14,BUS 14,15,BUS 15,1,102.4,-56.5,117.2,0.22,-34.09
15,BUS 15,16,BUS 16,1,-251.7,-188.4,313.0,0.85,-8.68
16,BUS 16,17,BUS 17,1,79.2,-4.7,77.5,0.04,-13.53
16,BUS 16,19,BUS 19,1,-449.8,-79.8,446.2,3.15,5.81
16,BUS 16,21,BUS 21,1,-276.1,-2.6,269.7,0.58,-16.92
16,BUS 16,24,BUS 24,1,21.8,-123.3,122.3,0.04,-6.34
17,BUS 17,18,BUS 18,1,64.8,43.3,76.2,0.04,-13.22
17,BUS 17,27,BUS 27,1,14.3,-34.5,36.5,0.01,-33.68
19,BUS 19,20,BUS 20,1,176.1,-15.0,168.9,0.22,4.42
19,BUS 19,33,GEN 33,1,-629.1,-70.6,604.8,2.93,59.48
20,BUS 20,34,GEN 34,1,-505.5,-128.0,527.5,2.55,50.99
21,BUS 21,22,BUS 22,1,-587.3,-110.3,582.8,2.7,19.67
22,BUS 22,23,BUS 23,1,60.0,44.3,71.3,0.04,-19.53
22,BUS 22,35,GEN 35,1,-650.0,-174.2,643.3,0.0,62.17
23,BUS 23,24,BUS 24,1,332.7,7.3,319.7,2.26,-2.75
23,BUS 23,36,GEN 36,1,-558.6,-40.0,538.0,1.45,78.74
25,BUS 25,26,BUS 26,1,215.0,-40.0,209.8,1.37,-41.89
25,BUS 25,37,GEN 37,1,-538.3,-3.2,516.5,1.68,65.04
26,BUS 26,27,BUS 27,1,305.9,73.5,302.0,1.3,-11.91
26,BUS 26,28,BUS 28,1,-97.8,-39.4,101.3,0.38,-80.74
26,BUS 26,29,BUS 29,1,-155.1,-43.6,154.6,1.27,-98.25
28,BUS 28,29,BUS 29,1,-337.3,14.1,323.0,1.47,-11.41
29,BUS 29,38,GEN 38,1,-824.8,56.1,789.7,5.24,102.21
