bus,name,type,voltage_pu,angle_deg,gen_mw,gen_mvar,load_mw,load_mvar
1,BUS 01,0,1.0,9.2,0.0,0.0,0.0,0.0
2,BUS 02,0,1.037,1.8,0.0,0.0,0.0,0.0
3,BUS 03,0,1.016,-3.2,0.0,0.0,360.9,2.6
4,BUS 04,0,0.987,-4.9,0.0,0.0,541.5,198.9
5,BUS 05,0,0.986,-3.5,0.0,0.0,0.0,0.0
6,BUS 06,0,0.99,-3.0,0.0,0.0,0.0,0.0
7,BUS 07,0,0.973,-4.2,0.0,0.0,248.9,89.0
8,BUS 08,0,0.969,-4.1,0.0,0.0,553.0,185.9
9,BUS 09,0,0.968,6.5,0.0,0.0,0.0,0.0
10,BUS 10,0,1.005,-0.7,0.0,0.0,0.0,0.0
11,BUS 11,0,0.999,-1.5,0.0,0.0,0.0,0.0
12,BUS 12,0,0.987,-1.6,0.0,0.0,8.2,94.5
13,BUS 13,0,1.001,-1.5,0.0,0.0,0.0,0.0
14,BUS 14,0,0.998,-3.3,0.0,0.0,0.0,0.0
15,BUS 15,0,1.005,-4.6,0.0,0.0,354.0,168.9
16,BUS 16,0,1.024,-3.4,0.0,0.0,372.4,36.0
17,BUS 17,0,1.023,-3.8,0.0,0.0,0.0,0.0
18,BUS 18,0,1.019,-4.1,0.0,0.0,177.7,33.7
19,BUS 19,0,1.047,1.2,0.0,0.0,0.0,0.0
20,BUS 20,0,0.988,-0.2,0.0,0.0,681.3,111.4
21,BUS 21,0,1.025,-1.4,0.0,0.0,310.6,129.9
22,BUS 22,0,1.046,3.0,0.0,0.0,0.0,0.0
23,BUS 23,0,1.041,2.7,0.0,0.0,285.8,97.6
24,BUS 24,0,1.031,-3.5,0.0,0.0,352.2,-104.8
25,BUS 25,0,1.042,2.1,0.0,0.0,259.0,53.6
26,BUS 26,0,1.041,-1.6,0.0,0.0,160.6,18.9
27,BUS 27,0,1.026,-3.9,0.0,0.0,318.8,85.6
28,BUS 28,0,1.045,0.9,0.0,0.0,239.1,31.7
29,BUS 29,0,1.047,3.6,0.0,0.0,329.7,30.7
30,GEN 30,1,1.048,4.3,250.0,214.0,0.0,0.0
31,GEN 31,2,0.982,-0.0,202.0,232.7,9.9,5.0
32,GEN 32,1,0.983,7.4,650.0,261.9,0.0,0.0
33,GEN 33,1,0.997,6.5,632.0,130.1,0.0,0.0
34,GEN 34,1,1.012,5.0,508.0,179.0,0.0,0.0
35,GEN 35,1,1.049,8.0,650.0,236.4,0.0,0.0
36,GEN 36,1,1.064,10.6,560.0,118.8,0.0,0.0
37,GEN 37,1,1.028,9.0,540.0,68.2,0.0,0.0
38,GEN 38,1,1.027,10.6,830.0,46.1,0.0,0.0
39,GEN 39,1,0.964,13.9,1000.0,33.7,205.3,263.3
