from_bus,from_name,to_bus,to_name,circuit,p_mw,q_mvar,mva,loss_mw,loss_mvar
1,BUS 01,2,BUS 02,1,347.8,-43.7,335.9,3.89,-30.38
1,BUS 01,39,GEN 39,1,-347.8,43.7,335.9,1.18,-51.2
2,BUS 02,3,BUS 03,1,712.7,127.7,694.1,6.31,45.94
2,BUS 02,25,BUS 25,1,-118.8,24.3,116.2,0.97,-14.77
2,BUS 02,30,GEN 30,1,-250.0,-165.3,287.3,0.0,15.7
3,BUS 03,4,BUS 04,1,347.9,118.5,360.8,1.73,5.97
3,BUS 03,18,BUS 18,1,29.2,-39.2,48.0,0.02,-22.05
4,BUS 04,5,BUS 05,1,81.8,1.0,82.7,0.06,-12.24
4,BUS 04,14,BUS 14,1,-229.5,-70.1,242.5,0.46,-6.22
5,BUS 05,6,BUS 06,1,63.9,-99.6,119.8,0.03,-3.89
5,BUS 05,8,BUS 08,1,17.8,112.8,115.6,0.12,-12.52
6,BUS 06,7,BUS 07,1,79.1,136.6,159.4,0.16,-8.45
6,BUS 06,11,BUS 11,1,-503.1,-57.0,511.2,1.82,7.62
6,BUS 06,31,GEN 31,1,488.0,-175.4,523.5,0.0,78.43
7,BUS 07,8,BUS 08,1,-148.5,63.4,165.3,0.11,-6.14
8,BUS 08,9,BUS 09,1,-637.0,24.3,654.2,9.87,118.65
9,BUS 09,39,GEN 39,1,-646.8,-94.4,652.1,4.18,-19.54
10,BUS 10,11,BUS 11,1,493.5,108.7,502.5,1.01,3.57
10,BUS 10,13,BUS 13,1,156.5,48.0,162.8,0.11,-6.2
10,BUS 10,32,GEN 32,1,-650.0,-156.7,664.8,0.0,101.21
11,BUS 11,12,BUS 12,1,-12.5,40.5,42.4,0.03,0.78
12,BUS 12,13,BUS 13,1,-19.9,-47.0,51.6,0.04,1.17
13,BUS 13,14,BUS 14,1,136.5,6.1,136.2,0.17,-15.39
14,BUS 14,15,BUS 15,1,-93.6,-42.5,102.8,0.17,-34.85
15,BUS 15,16,BUS 16,1,-416.6,-162.0,443.7,1.75,0.58
16,BUS 16,17,BUS 17,1,90.5,-17.3,89.8,0.06,-13.43
16,BUS 16,19,BUS 19,1,-510.0,-64.4,501.0,3.99,15.92
16,BUS 16,21,BUS 21,1,-314.3,0.6,306.3,0.75,-14.17
16,BUS 16,24,BUS 24,1,-23.9,-111.3,110.9,0.03,-6.52
17,BUS 17,18,BUS 18,1,133.2,35.6,134.3,0.13,-12.32
17,BUS 17,27,BUS 27,1,-42.7,-39.5,56.7,0.03,-33.64
19,BUS 19,20,BUS 20,1,115.1,-16.6,111.0,0.1,1.91
19,BUS 19,33,GEN 33,1,-629.1,-63.8,603.5,2.92,59.22
20,BUS 20,34,GEN 34,1,-505.5,-120.2,524.8,2.52,50.48
21,BUS 21,22,BUS 22,1,-598.2,-104.1,590.9,2.77,20.92
22,BUS 22,23,BUS 23,1,49.0,39.0,59.8,0.03,-19.75
22,BUS 22,35,GEN 35,1,-650.0,-164.1,639.9,0.0,61.52
23,BUS 23,24,BUS 24,1,347.1,9.4,333.0,2.45,0.18
23,BUS 23,36,GEN 36,1,-558.6,-32.4,536.5,1.44,78.29
25,BUS 25,26,BUS 26,1,181.3,-32.2,175.6,0.96,-46.58
25,BUS 25,37,GEN 37,1,-538.3,23.6,513.9,1.67,64.38
26,BUS 26,27,BUS 27,1,335.7,68.5,327.7,1.53,-9.78
26,BUS 26,28,BUS 28,1,-125.0,-34.8,124.1,0.62,-78.76
26,BUS 26,29,BUS 29,1,-177.1,-37.3,173.1,1.65,-94.79
28,BUS 28,29,BUS 29,1,-343.9,22.0,328.6,1.52,-11.0
29,BUS 29,38,GEN 38,1,-824.8,72.8,789.0,5.23,102.02
