bus,name,type,voltage_pu,angle_deg,gen_mw,gen_mvar,load_mw,load_mvar
1,BUS 01,0,1.043,25.8,0.0,0.0,0.0,0.0
2,BUS 02,0,1.043,18.3,0.0,0.0,0.0,0.0
3,BUS 03,0,1.019,12.5,0.0,0.0,329.3,2.5
4,BUS 04,0,0.99,8.4,0.0,0.0,493.8,181.7
5,BUS 05,0,0.988,7.8,0.0,0.0,0.0,0.0
6,BUS 06,0,0.991,7.7,0.0,0.0,0.0,0.0
7,BUS 07,0,0.977,7.3,0.0,0.0,227.4,81.7
8,BUS 08,0,0.974,7.8,0.0,0.0,506.1,170.6
9,BUS 09,0,1.002,21.5,0.0,0.0,0.0,0.0
10,BUS 10,0,1.006,11.3,0.0,0.0,0.0,0.0
11,BUS 11,0,0.999,10.1,0.0,0.0,0.0,0.0
12,BUS 12,0,0.988,10.4,0.0,0.0,7.4,86.7
13,BUS 13,0,1.003,10.9,0.0,0.0,0.0,0.0
14,BUS 14,0,1.0,10.1,0.0,0.0,0.0,0.0
15,BUS 15,0,1.007,11.2,0.0,0.0,322.8,154.4
16,BUS 16,0,1.026,13.3,0.0,0.0,339.4,33.0
17,BUS 17,0,1.026,12.9,0.0,0.0,0.0,0.0
18,BUS 18,0,1.022,12.3,0.0,0.0,162.2,30.8
19,BUS 19,0,1.048,18.6,0.0,0.0,0.0,0.0
20,BUS 20,0,0.99,17.7,0.0,0.0,620.5,101.8
21,BUS 21,0,1.028,15.7,0.0,0.0,283.1,118.8
22,BUS 22,0,1.048,20.1,0.0,0.0,0.0,0.0
23,BUS 23,0,1.043,19.8,0.0,0.0,260.4,88.4
24,BUS 24,0,1.032,13.4,0.0,0.0,320.7,-95.6
25,BUS 25,0,1.048,18.9,0.0,0.0,237.2,49.8
26,BUS 26,0,1.046,15.8,0.0,0.0,146.7,17.9
27,BUS 27,0,1.031,13.3,0.0,0.0,291.5,77.8
28,BUS 28,0,1.049,19.0,0.0,0.0,218.3,28.6
29,BUS 29,0,1.049,21.7,0.0,0.0,300.6,27.6
30,GEN 30,1,1.048,20.7,250.0,181.0,0.0,0.0
31,GEN 31,2,0.982,0.0,-488.0,253.8,0.0,0.0
32,GEN 32,1,0.983,19.4,650.0,257.9,0.0,0.0
33,GEN 33,1,0.997,23.8,632.0,123.0,0.0,0.0
34,GEN 34,1,1.012,22.9,508.0,170.7,0.0,0.0
35,GEN 35,1,1.049,25.0,650.0,225.6,0.0,0.0
36,GEN 36,1,1.064,27.7,560.0,110.7,0.0,0.0
37,GEN 37,1,1.028,25.7,540.0,40.7,0.0,0.0
38,GEN 38,1,1.027,28.8,830.0,29.2,0.0,0.0
39,GEN 39,1,1.03,30.5,1000.0,-20.0,0.0,0.0
